"","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"1",2.12741363897979e-08,2.81932567003809e-08,2.78244462830466e-08,2.84785685481325e-08,2.50902014237505e-08,2.45221007505488e-08,2.95606086367877e-08,2.18467238439493e-08,3.01219763419104e-08,3.31029759180078e-08,2.39951435101784e-08,3.04074693956754e-08,2.87936549784342e-08,2.61148619037617e-08,2.69721294611308e-08,2.67770886796254e-08,2.70244000470041e-08,2.76395411136296e-08,2.61246766085941e-08,2.82409958699113e-08,2.67249932084556e-08,3.37685809968606e-08,2.88992899852435e-08,2.72283024585843e-08,2.84998407973828e-08,2.65325628588863e-08,3.03304938656412e-08,2.72275278510375e-08,2.66345428546004e-08,2.68652157040245e-08,3.04793228345574e-08,2.80657032073877e-08,2.86162676607734e-08,2.61972646796039e-08,2.87358346916782e-08,2.65497801281398e-08,2.87332934744678e-08,3.05813766202206e-08,2.96021262517845e-08,2.86253508165447e-08,2.79835897433212e-08,2.74099207197763e-08,2.22809126501882e-08,1.980130530238e-08,2.6462726179427e-08,3.18642741715095e-08,2.61117875119044e-08,2.88369020298636e-08,3.19807082278002e-08,2.74596686657346e-08,2.82478867487485e-08
"2",3.33294803440168e-07,4.41694354972635e-07,4.35916325101064e-07,4.46164240587409e-07,3.93079822305425e-07,3.84179578425265e-07,4.63116201976341e-07,3.42265340221872e-07,4.7191096268993e-07,5.18613289382122e-07,3.75923914992794e-07,4.76383687198915e-07,4.51100594662136e-07,4.09132836492266e-07,4.22563361557716e-07,4.19507722647464e-07,4.23382267403064e-07,4.33019477446864e-07,4.09286600201308e-07,4.4244226862861e-07,4.18691560265804e-07,5.29041102284149e-07,4.52755543102148e-07,4.26576738517821e-07,4.46497505825664e-07,4.15676818122553e-07,4.75177737228379e-07,4.26564602999588e-07,4.17274504722072e-07,4.20888379363051e-07,4.77509391074733e-07,4.3969601691574e-07,4.48321526685451e-07,4.10423813313795e-07,4.50194743502959e-07,4.15946555340857e-07,4.50154931099995e-07,4.79108233716789e-07,4.63766644611291e-07,4.484638294592e-07,4.38409572645365e-07,4.29422091276496e-07,3.49067631519616e-07,3.10220449737287e-07,4.14582710144357e-07,4.99206962020316e-07,4.09084671019836e-07,4.51778131801196e-07,5.0103109556887e-07,4.30201475763176e-07,4.42550225730394e-07
"3",1.51755506247225e-06,2.01111897796051e-06,1.98481050152399e-06,2.03147122310012e-06,1.78976770156087e-06,1.74924318687248e-06,2.10865674942419e-06,1.55839963420171e-06,2.14870097905627e-06,2.36134561548456e-06,1.71165357039272e-06,2.16906615022485e-06,2.05394738846164e-06,1.862860149135e-06,1.92401190156067e-06,1.91009899247994e-06,1.92774053668629e-06,1.97162059943891e-06,1.86356026474638e-06,2.01452437205367e-06,1.90638284886983e-06,2.40882544444272e-06,2.06148268561403e-06,1.94228557537902e-06,2.03298864354664e-06,1.89265615060056e-06,2.16357522908241e-06,1.94223032004068e-06,1.89993072362816e-06,1.91638538688708e-06,2.17419169553176e-06,2.00202016212699e-06,2.04129375980184e-06,1.86873821381175e-06,2.04982287467305e-06,1.89388431580731e-06,2.0496416011787e-06,2.1814715322424e-06,2.11161833929396e-06,2.04194169158019e-06,1.99616273502358e-06,1.95524101134404e-06,1.58937176904676e-06,1.41249311156978e-06,1.88767446746579e-06,2.27298489090101e-06,1.86264084251585e-06,2.05703234479694e-06,2.28129052024975e-06,1.95878969815574e-06,2.01501592141073e-06
"4",5.45327029458487e-06,7.22687146753098e-06,7.13233306388762e-06,7.30000640450463e-06,6.43145496495471e-06,6.28583182572401e-06,7.57736934722992e-06,5.60004354533233e-06,7.7212666023097e-06,8.485396160316e-06,6.15075511977572e-06,7.7944479884248e-06,7.38077355947198e-06,6.6941096013309e-06,6.91385585186987e-06,6.86386039821064e-06,6.92725454538205e-06,7.08493570546039e-06,6.6966254373363e-06,7.23910860798726e-06,6.85050659243412e-06,8.65601292886193e-06,7.40785133288407e-06,6.97952153021712e-06,7.30545919106246e-06,6.80118027949453e-06,7.77471659422603e-06,6.97932297248262e-06,6.82732115172922e-06,6.88645029213162e-06,7.81286641992488e-06,7.19417525549371e-06,7.33530327704493e-06,6.71523217953848e-06,7.36595229263352e-06,6.80559363951317e-06,7.36530089395524e-06,7.83902620698321e-06,7.5880116958741e-06,7.33763159264095e-06,7.173126837538e-06,7.02607634450267e-06,5.71134060933159e-06,5.07573459251009e-06,6.78327881065979e-06,8.16787561263027e-06,6.69332153221816e-06,7.3918592203217e-06,8.19772154239278e-06,7.03882840131664e-06,7.2408749699292e-06
"5",1.32396042132509e-05,1.75456034198704e-05,1.73160804034827e-05,1.77231624931211e-05,1.56144686860474e-05,1.52609207004249e-05,1.83965521082942e-05,1.35959444722178e-05,1.87459099434489e-05,2.06010853463068e-05,1.4932977644501e-05,1.8923581787242e-05,1.79192512815789e-05,1.62521490581077e-05,1.67856552346437e-05,1.66642748549535e-05,1.68181849625856e-05,1.72010077530488e-05,1.62582570760818e-05,1.75753130963748e-05,1.66318541067289e-05,2.10153135737129e-05,1.79849914674832e-05,1.6945080230059e-05,1.77364009229046e-05,1.65120982858469e-05,1.88756773490507e-05,1.69445981659624e-05,1.6575563836513e-05,1.67191192398046e-05,1.89682985773729e-05,1.74662226293976e-05,1.7808857240888e-05,1.63034310522735e-05,1.78832677897878e-05,1.65228131664123e-05,1.78816863056104e-05,1.90318100499839e-05,1.84223899040272e-05,1.78145099914963e-05,1.74151206835936e-05,1.70581073279408e-05,1.38661546393005e-05,1.23230123331812e-05,1.64686365923301e-05,1.98301999594027e-05,1.62502357615752e-05,1.79461653632518e-05,1.99026607537677e-05,1.70890671329755e-05,1.75796015199712e-05
"6",2.73230825032971e-05,3.62095393555226e-05,3.57358638428596e-05,3.65759748719848e-05,3.22241820285702e-05,3.14945513972882e-05,3.79656750258477e-05,2.80584756569122e-05,3.86866582817936e-05,4.2515255404028e-05,3.08177626482391e-05,3.90533265271791e-05,3.69806508773024e-05,3.35401876383979e-05,3.46412049379124e-05,3.43907075608655e-05,3.47083377937023e-05,3.54983839702716e-05,3.35527929909711e-05,3.62708523622561e-05,3.43237996107265e-05,4.33701141936346e-05,3.71163214377144e-05,3.49702164576418e-05,3.6603295530772e-05,3.40766548984297e-05,3.89544642881052e-05,3.49692216033492e-05,3.42076312062584e-05,3.45038920358688e-05,3.91456102938499e-05,3.60457181526882e-05,3.675282643232e-05,3.36460202701713e-05,3.69063903556788e-05,3.40987676112409e-05,3.69031265857081e-05,3.927668137257e-05,3.80189974827086e-05,3.67644922320489e-05,3.59402570936722e-05,3.52034748444327e-05,2.86161188137251e-05,2.54314764433568e-05,3.39869613231108e-05,4.0924349460942e-05,3.35362390944559e-05,3.70361945070214e-05,4.10738896005714e-05,3.52673677896918e-05,3.62797025476427e-05
"7",4.63563431933697e-05,6.143310635013e-05,6.06294684507586e-05,6.20548008663807e-05,5.46715489023523e-05,5.34336575354459e-05,6.44125662195605e-05,4.76040112559654e-05,6.56357864490228e-05,7.2131384525339e-05,5.22854177086786e-05,6.62578758131767e-05,6.27413741980082e-05,5.69042840882966e-05,5.8772270095804e-05,5.83472762329037e-05,5.88861677024219e-05,6.02265600865989e-05,5.69256703301266e-05,6.15371300005367e-05,5.82337602012247e-05,7.35817379921592e-05,6.29715528778455e-05,5.93304710572553e-05,6.21011530974972e-05,5.78144544695133e-05,6.60901461332322e-05,5.93287831874108e-05,5.80366688801742e-05,5.85393050190694e-05,6.64144444565006e-05,6.11551672888978e-05,6.23548472328253e-05,5.7083839736857e-05,6.26153837931669e-05,5.78519708992166e-05,6.26098464808653e-05,6.66368196554607e-05,6.45030331026385e-05,6.23746394292508e-05,6.09762420506969e-05,5.97262172483926e-05,4.85501086647602e-05,4.31470442538861e-05,5.76622803449715e-05,6.94322534197192e-05,5.68975849884397e-05,6.28356095230727e-05,6.96859632283766e-05,5.98346180226358e-05,6.1552145225523e-05
"8",7.1516555163704e-05,9.47763312744472e-05,9.35365135881751e-05,9.57354546026387e-05,8.43448937861746e-05,8.24351286897616e-05,9.93729127006681e-05,7.34414033220761e-05,0.000101260043802722,0.000111281170711036,8.06636741000495e-05,0.000102219776285129,9.67946701525031e-05,8.77894607664787e-05,9.06713085385014e-05,9.0015646444674e-05,9.08470248246788e-05,9.29149240436515e-05,8.78224545325573e-05,9.49368144493518e-05,8.98405188357582e-05,0.00011351871311778,9.71497798337268e-05,9.1532476764941e-05,9.58069648138686e-05,8.91936321439563e-05,0.000101961010211664,9.15298727925712e-05,8.95364548962149e-05,9.03119001250291e-05,0.000102461323595504,9.43475389488349e-05,9.61983531196334e-05,8.80664714312686e-05,9.66002976218584e-05,8.92515108640966e-05,9.65917548966692e-05,0.000102804394404975,9.95124810830823e-05,9.62288876616177e-05,9.40715008537981e-05,9.21430168196481e-05,7.49010013590494e-05,6.65653879915009e-05,8.89588645065071e-05,0.000107117068339891,8.7779125685852e-05,9.69400523237247e-05,0.000107508480825788,9.23102528313112e-05,9.49599792870429e-05
"9",9.85205256211542e-05,0.000130562971779464,0.000128855010736789,0.000131884250946402,0.000116192722793389,0.000113561848575792,0.000136895178596964,0.000101172178121329,0.000139494872439387,0.000153299881476294,0.000111121509595636,0.000140816990771373,0.000133343416205129,0.00012093792547632,0.000124907931534497,0.000124004697675345,0.000125149996617676,0.000127998714897219,0.0001209833773744,0.000130784051873559,0.000123763443548358,0.000156382298596462,0.000133832611921662,0.000126094268685704,0.00013198276273268,0.000122872298599503,0.000140460517091784,0.000126090681478155,0.000123344567959654,0.000124412813925338,0.000141149744046835,0.000129972271553412,0.000132521935537042,0.000121319532731246,0.000133075650457162,0.000122952031773415,0.00013306388208026,0.000141622355128242,0.000137087446672014,0.000132563999631418,0.00012959200410132,0.000126935342853284,0.000103182906483022,9.16998448553221e-05,0.000122548884936926,0.000147563453688261,0.000120923687967629,0.000133543693300298,0.000148102659802943,0.000127165725591017,0.000130815963533454
"10",0.000132729336935949,0.000175897728553677,0.000173596720359928,0.000177677789171799,0.000156537766682779,0.000152993386582674,0.000184428637284919,0.000136301710062399,0.000187931010397179,0.000206529466752451,0.000149705700360003,0.000189712201559619,0.000179643613410451,0.000162930623417569,0.000168279115707995,0.000167062256272183,0.000168605231893259,0.000172443097007935,0.000162991857361019,0.000176195573232377,0.000166737232627554,0.000210682176839413,0.000180302670217934,0.000169877379039108,0.000177810506734871,0.000165536659676592,0.000189231951227735,0.000169872546262623,0.000166172912869852,0.000167612080777409,0.000190160495164804,0.000175101922310892,0.000178536893935565,0.000163444734336049,0.000179282872641381,0.000165644078219464,0.000179267017987204,0.000190797208733556,0.000184687665684884,0.000178593563744422,0.000174589616408581,0.000171010495370684,0.000139010614024524,0.000123540343781549,0.000165100948633445,0.000198801206556048,0.000162911442286772,0.000179913431764319,0.000199527638633245,0.000171320872805518,0.000176238565425442
